StoreName,Address,Latitude,Longitude,ZipCode,Status
Christy's Liquors (ChristysLiquors - 137694),"4220 San Felipe Street, Houston, TX, USA",29.7469283,-95.4495751,77027,Active
King Cole Liquor (688120),"1802 Richmond Avenue, Houston, TX, USA",29.7344999,-95.4046715,77098,Active
